population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Maldives,Male,All ages,Depressive disorders,Percent,2023,0.0267556762014339,0.0327578196077415,0.0220272844322992
All Population,Prevalence,Maldives,Female,All ages,Depressive disorders,Percent,2023,0.0323015721256015,0.0388170553581479,0.0270773169949623
All Population,Prevalence,Maldives,Male,All ages,Bipolar disorder,Percent,2023,0.0038437250792205,0.0050939423515126,0.0030186640941942
All Population,Prevalence,Maldives,Female,All ages,Bipolar disorder,Percent,2023,0.0035469526077191,0.0045768457736831,0.0027888904571702
All Population,Prevalence,Maldives,Male,All ages,Anxiety disorders,Percent,2023,0.0217143455123146,0.0278517996581751,0.017417135262842
All Population,Prevalence,Maldives,Female,All ages,Anxiety disorders,Percent,2023,0.035032848335763,0.0447088638259779,0.027394182636913
All Population,Prevalence,Maldives,Male,All ages,Eating disorders,Percent,2023,0.0013855932393925,0.0019414506218473,0.0010184957126362
All Population,Prevalence,Maldives,Female,All ages,Eating disorders,Percent,2023,0.0031163916211318,0.0041395804253361,0.0024021889336558
All Population,Prevalence,Maldives,Male,All ages,Autism spectrum disorders,Percent,2023,0.0093215406455704,0.0156669895875154,0.0058304282528268
All Population,Prevalence,Maldives,Female,All ages,Autism spectrum disorders,Percent,2023,0.0031605062936848,0.005186337685238,0.0018650237603667
All Population,Prevalence,Maldives,Male,All ages,Attention-deficit/hyperactivity disorder,Percent,2023,0.008465916760045,0.0117718448561936,0.0060332463964314
All Population,Prevalence,Maldives,Female,All ages,Attention-deficit/hyperactivity disorder,Percent,2023,0.003263605155454,0.0046489777833835,0.0022622979017712
All Population,Prevalence,Maldives,Male,All ages,Conduct disorder,Percent,2023,0.004169708982102,0.0054937199501559,0.0030763996962585
All Population,Prevalence,Maldives,Female,All ages,Conduct disorder,Percent,2023,0.0024212254438238,0.0032269192289367,0.0017115508139609
All Population,Prevalence,Maldives,Male,All ages,Idiopathic developmental intellectual disability,Percent,2023,0.0055996525988962,0.0110837666767622,0.0023099726894442
All Population,Prevalence,Maldives,Female,All ages,Idiopathic developmental intellectual disability,Percent,2023,0.0085303153542018,0.0147315559783914,0.0041407793297248
All Population,Prevalence,Maldives,Male,All ages,Other mental disorders,Percent,2023,0.0218288560625225,0.0276479844253238,0.0169232693624311
All Population,Prevalence,Maldives,Female,All ages,Other mental disorders,Percent,2023,0.0133222571485816,0.0170421855629841,0.0104423268527093
All Population,Prevalence,Mongolia,Male,All ages,Schizophrenia,Percent,2023,0.0031536111674999,0.0039677976237392,0.0023734366118042
All Population,Prevalence,Mongolia,Female,All ages,Schizophrenia,Percent,2023,0.0030358682107195,0.0037871263532236,0.0023352125875842
All Population,Prevalence,Israel,Male,All ages,Schizophrenia,Percent,2023,0.0035129846441753,0.0043552331722647,0.0027998203633986
All Population,Prevalence,Israel,Female,All ages,Schizophrenia,Percent,2023,0.0029264280963847,0.0035716285495986,0.0023529036305083
All Population,Prevalence,Haiti,Male,All ages,Schizophrenia,Percent,2023,0.0028382575092996,0.0035769570595166,0.0021735038763248
All Population,Prevalence,Haiti,Female,All ages,Schizophrenia,Percent,2023,0.0025807320461319,0.0032592452653669,0.00196101312183
All Population,Prevalence,Israel,Male,All ages,Depressive disorders,Percent,2023,0.0387901792225343,0.0462566982829724,0.0327218994713066
All Population,Prevalence,Israel,Female,All ages,Depressive disorders,Percent,2023,0.0686500138690636,0.0796776466973551,0.0584392654360055
All Population,Prevalence,Guinea-Bissau,Male,All ages,Schizophrenia,Percent,2023,0.0019714828045995,0.0025200797851363,0.0015081279773557
All Population,Prevalence,Guinea-Bissau,Female,All ages,Schizophrenia,Percent,2023,0.0022017821619492,0.0027891489718724,0.0016698196439356
All Population,Prevalence,Guinea-Bissau,Male,All ages,Depressive disorders,Percent,2023,0.0255170262858316,0.0300272169658945,0.0214754386053792
All Population,Prevalence,Guinea-Bissau,Female,All ages,Depressive disorders,Percent,2023,0.0341122777944997,0.0401036892278276,0.0289546793580654
All Population,Prevalence,Costa Rica,Male,All ages,Autism spectrum disorders,Percent,2023,0.0107533043183348,0.0179556654493252,0.0060356502480483
All Population,Prevalence,Costa Rica,Female,All ages,Autism spectrum disorders,Percent,2023,0.0039828953843163,0.0067593142650613,0.0021696287032058
All Population,Prevalence,Costa Rica,Male,All ages,Attention-deficit/hyperactivity disorder,Percent,2023,0.0154525789330952,0.0215580109187252,0.0110148853803002
All Population,Prevalence,Costa Rica,Female,All ages,Attention-deficit/hyperactivity disorder,Percent,2023,0.0060192025257353,0.0085142029673442,0.0042099125448785
All Population,Prevalence,Costa Rica,Male,All ages,Conduct disorder,Percent,2023,0.006833119504556,0.0085375367131748,0.0052445417811403
All Population,Prevalence,Costa Rica,Female,All ages,Conduct disorder,Percent,2023,0.0035842686928364,0.0047908248582246,0.002512702680275
All Population,Prevalence,Costa Rica,Male,All ages,Idiopathic developmental intellectual disability,Percent,2023,0.0042377683359458,0.0092602686688804,0.0012702069656149
All Population,Prevalence,Costa Rica,Female,All ages,Idiopathic developmental intellectual disability,Percent,2023,0.0038365313338252,0.007423746308602,0.0017265427421069
All Population,Prevalence,Costa Rica,Male,All ages,Other mental disorders,Percent,2023,0.0215451851803618,0.0269411469365458,0.0168653619486294
All Population,Prevalence,Costa Rica,Female,All ages,Other mental disorders,Percent,2023,0.0145511764256692,0.0186365257589195,0.0114713317579981
All Population,Prevalence,Panama,Male,All ages,Schizophrenia,Percent,2023,0.0038550227681242,0.0047333367827362,0.0029400539744428
All Population,Prevalence,Panama,Female,All ages,Schizophrenia,Percent,2023,0.0036414344587563,0.0044827917146481,0.0027819236923888
All Population,Prevalence,Panama,Male,All ages,Depressive disorders,Percent,2023,0.023834828518805,0.0294616975016365,0.0194857292613467
All Population,Prevalence,Panama,Female,All ages,Depressive disorders,Percent,2023,0.0421772348693799,0.0521067804181464,0.0343978362859301
All Population,Prevalence,Oman,Male,All ages,Schizophrenia,Percent,2023,0.0044515007019835,0.0056727361040275,0.0033188494054542
All Population,Prevalence,Oman,Female,All ages,Schizophrenia,Percent,2023,0.0032752734897277,0.0041887043557435,0.0024690596396836
All Population,Prevalence,Oman,Male,All ages,Depressive disorders,Percent,2023,0.0362684384568525,0.0461346815743219,0.0290753322169436
All Population,Prevalence,Oman,Female,All ages,Depressive disorders,Percent,2023,0.0452273635168032,0.0557039775303334,0.0368544807210309
All Population,Prevalence,Samoa,Male,All ages,Schizophrenia,Percent,2023,0.0028909371371259,0.0035435777177276,0.0022843231918284
All Population,Prevalence,Samoa,Female,All ages,Schizophrenia,Percent,2023,0.0026063967606135,0.0032653997640916,0.0020271509901081
All Population,Prevalence,Samoa,Male,All ages,Depressive disorders,Percent,2023,0.0281934761681264,0.0387159997670778,0.0199040577367341
All Population,Prevalence,Samoa,Female,All ages,Depressive disorders,Percent,2023,0.0282936822902527,0.037844343242737,0.0207489477584317
All Population,Prevalence,Samoa,Male,All ages,Bipolar disorder,Percent,2023,0.0032895323718586,0.004197652219596,0.0025875145192364
All Population,Prevalence,Samoa,Female,All ages,Bipolar disorder,Percent,2023,0.0034044902314541,0.0043838321554852,0.0026781903522062
All Population,Prevalence,Samoa,Male,All ages,Anxiety disorders,Percent,2023,0.0437475592493596,0.0694734882886337,0.0301357318038318
All Population,Prevalence,Samoa,Female,All ages,Anxiety disorders,Percent,2023,0.0578752988717518,0.0845724951672869,0.0417645709410957
All Population,Prevalence,Montenegro,Male,All ages,Conduct disorder,Percent,2023,0.0054814892366312,0.0069180558443479,0.0041496922807501
All Population,Prevalence,Montenegro,Female,All ages,Conduct disorder,Percent,2023,0.002620325892196,0.0034724907064965,0.0018095730994298
All Population,Prevalence,Montenegro,Male,All ages,Idiopathic developmental intellectual disability,Percent,2023,0.0109315995873693,0.0196379101904694,0.0050759833230787
All Population,Prevalence,Montenegro,Female,All ages,Idiopathic developmental intellectual disability,Percent,2023,0.0094379464783985,0.0161325308279435,0.0049221366242198
All Population,Prevalence,Montenegro,Male,All ages,Other mental disorders,Percent,2023,0.0231432568418321,0.0286133974180758,0.0181708951902402
All Population,Prevalence,Montenegro,Female,All ages,Other mental disorders,Percent,2023,0.0162246347778793,0.0206108448932261,0.0129099224044279
All Population,Prevalence,Eritrea,Male,All ages,Autism spectrum disorders,Percent,2023,0.0140787764477393,0.0283811595194758,0.0069705209029497
All Population,Prevalence,Eritrea,Female,All ages,Autism spectrum disorders,Percent,2023,0.0051183779376289,0.0105411415628191,0.0024927779244419
All Population,Prevalence,Eritrea,Male,All ages,Attention-deficit/hyperactivity disorder,Percent,2023,0.0210721686241857,0.0294323149327713,0.014601219743868
All Population,Prevalence,Eritrea,Female,All ages,Attention-deficit/hyperactivity disorder,Percent,2023,0.007711756409644,0.0109593832828012,0.0052421530575629
All Population,Prevalence,Eritrea,Male,All ages,Conduct disorder,Percent,2023,0.0103153794325511,0.0128907571038711,0.0080489322990817
All Population,Prevalence,Eritrea,Female,All ages,Conduct disorder,Percent,2023,0.0050688462781081,0.0067910153981635,0.0035522244655908
All Population,Prevalence,Eritrea,Male,All ages,Idiopathic developmental intellectual disability,Percent,2023,0.0034606603001332,0.0089255152834988,0.000556779020302
All Population,Prevalence,Eritrea,Female,All ages,Idiopathic developmental intellectual disability,Percent,2023,0.0033212178604261,0.0071704229028668,0.0007690235517437
