population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Prevalence,Papua New Guinea,Male,Age-standardized,Autism spectrum disorders,Percent,2021,0.0091858606510058,0.0158273039349672,0.00489302484268
All Population,Prevalence,Papua New Guinea,Female,Age-standardized,Autism spectrum disorders,Percent,2021,0.0033447472984099,0.0055284817719028,0.0018621697977398
All Population,Prevalence,Papua New Guinea,Male,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0126744028760673,0.0176989314634773,0.0087516625881071
All Population,Prevalence,Papua New Guinea,Female,Age-standardized,Attention-deficit/hyperactivity disorder,Percent,2021,0.0046744868916498,0.006559913571255,0.0032558506583967
All Population,Prevalence,Papua New Guinea,Male,Age-standardized,Conduct disorder,Percent,2021,0.0064097731978322,0.008071063209616,0.0047833132782902
All Population,Prevalence,Papua New Guinea,Female,Age-standardized,Conduct disorder,Percent,2021,0.0030330709293379,0.004093742811641,0.0020591756047788
All Population,Prevalence,Papua New Guinea,Male,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0060231692970222,0.0123717714899691,0.0022390372644372
All Population,Prevalence,Papua New Guinea,Female,Age-standardized,Idiopathic developmental intellectual disability,Percent,2021,0.0064988170494638,0.0116170912840935,0.0030295799297272
All Population,Prevalence,Papua New Guinea,Male,Age-standardized,Other mental disorders,Percent,2021,0.0182031347368703,0.0227557048343968,0.0142661660475606
All Population,Prevalence,Papua New Guinea,Female,Age-standardized,Other mental disorders,Percent,2021,0.0122992419786093,0.0156966579957508,0.0096641236061785
All Population,Prevalence,Maldives,Male,Age-standardized,Schizophrenia,Percent,2021,0.0036049741765004,0.0044533597536061,0.0028405523758328
All Population,Prevalence,Maldives,Female,Age-standardized,Schizophrenia,Percent,2021,0.0030070798974321,0.0037537724631708,0.0023404468305801
All Population,Prevalence,Montenegro,Male,Age-standardized,Schizophrenia,Percent,2021,0.0033505202060193,0.0041654742393803,0.0026030313128676
All Population,Prevalence,Montenegro,Female,Age-standardized,Schizophrenia,Percent,2021,0.0030213318968873,0.0037513639154426,0.0023859300210238
All Population,Prevalence,Tajikistan,Male,Age-standardized,Bipolar disorder,Percent,2021,0.0048616101831197,0.0062784482274461,0.003805473754485
All Population,Prevalence,Tajikistan,Female,Age-standardized,Bipolar disorder,Percent,2021,0.0050813263036027,0.0063860959796606,0.0039754820410561
All Population,Prevalence,Tajikistan,Male,Age-standardized,Anxiety disorders,Percent,2021,0.0252713583316612,0.0333607143615856,0.0183945264079047
All Population,Prevalence,Tajikistan,Female,Age-standardized,Anxiety disorders,Percent,2021,0.0412558206859416,0.0541445183751752,0.0303258558318501
All Population,Prevalence,Montenegro,Male,Age-standardized,Conduct disorder,Percent,2021,0.0077671308279721,0.0097340290644171,0.005880712633849
