population_group,measure,location,sex,age,cause,metric,year,val,upper,lower
All Population,Deaths,Global,Male,10-14 years,Self-harm,Rate,2023,1.978967311832443,2.879892716051632,1.3598316069060068
All Population,Deaths,Global,Female,10-14 years,Self-harm,Rate,2023,1.3900413666811726,1.8597168051195425,0.9953630067781037
All Population,Deaths,Global,Male,15-19 years,Self-harm,Rate,2023,8.812800243991745,11.116159730548473,7.12783900419374
All Population,Deaths,Global,Female,15-19 years,Self-harm,Rate,2023,7.221223610235745,9.241066242854208,5.7573038558190985
All Population,Deaths,Global,Male,20-24 years,Self-harm,Rate,2023,14.658444834295217,18.002564038916734,11.693757531778948
All Population,Deaths,Global,Female,20-24 years,Self-harm,Rate,2023,7.947669301994288,9.966254946760063,6.3525941705272135
All Population,Deaths,Global,Male,25-29 years,Self-harm,Rate,2023,16.509101605210525,20.064242905129795,13.021313760674312
All Population,Deaths,Global,Female,25-29 years,Self-harm,Rate,2023,7.540288556607448,9.528173583893745,5.893688064995644
All Population,Deaths,Global,Male,30-34 years,Self-harm,Rate,2023,16.844575476012345,20.191812881920484,13.486435217391927
All Population,Deaths,Global,Female,30-34 years,Self-harm,Rate,2023,6.348110140376772,7.94974577761145,5.087506226702158
All Population,Deaths,Global,Male,35-39 years,Self-harm,Rate,2023,16.021973816336708,19.054455135267414,13.021058861719316
All Population,Deaths,Global,Female,35-39 years,Self-harm,Rate,2023,5.772835263304035,7.160578811935941,4.7160035566577765
All Population,Deaths,Global,Male,40-44 years,Self-harm,Rate,2023,17.861722603485354,21.176272533110144,14.470691786475424
All Population,Deaths,Global,Female,40-44 years,Self-harm,Rate,2023,5.926702628831448,7.08214405994182,5.024672406618574
All Population,Deaths,Global,Male,45-49 years,Self-harm,Rate,2023,17.119980536835214,19.75466693150737,13.813434333775817
All Population,Deaths,Global,Female,45-49 years,Self-harm,Rate,2023,5.909832435482262,7.096690291764529,5.003635074709326
All Population,Deaths,Global,Male,50-54 years,Self-harm,Rate,2023,17.81094516232143,20.8163493720259,14.481446857599126
All Population,Deaths,Global,Female,50-54 years,Self-harm,Rate,2023,6.211258177701614,7.145122135843109,5.332729006736297
All Population,Deaths,Global,Male,55-59 years,Self-harm,Rate,2023,18.21794144843044,21.38454649909893,15.124184817092484
All Population,Deaths,Global,Female,55-59 years,Self-harm,Rate,2023,6.6719837413196075,8.027331879904288,5.674316220671252
All Population,Deaths,Global,Male,60-64 years,Self-harm,Rate,2023,19.881472740338207,23.393236265768532,16.874393808967152
All Population,Deaths,Global,Female,60-64 years,Self-harm,Rate,2023,7.1966880423919,8.718672812716282,6.026588804255585
All Population,Deaths,Global,Male,65-69 years,Self-harm,Rate,2023,21.19128101199977,25.372476549366247,18.233311515659818
All Population,Deaths,Global,Female,65-69 years,Self-harm,Rate,2023,8.347495677619436,10.248282406087212,6.916894153865021
